ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0338,0.5961,25.4890,1.0000,0.0000,6.8200,158.6413,68.5152,1.0930,0.7627,0.6162,595.1885,211.0377,13.8569,0.0000,0.3995,13.0355,29.5049,1.0772
02/01/2007 00:00:00,0.0334,0.6068,25.6839,1.0000,0.0000,7.3233,156.2992,68.5152,1.0420,0.7218,0.5869,650.7055,222.1411,13.1390,0.0000,0.4365,14.6941,29.6023,1.0821
03/01/2007 00:00:00,2.3147,0.6070,25.6089,1.0000,0.0000,7.8266,157.4359,68.5152,1.3361,0.8818,0.5532,632.7616,218.5523,16.0824,4.7906,0.4303,16.3527,36.5126,1.0388
04/01/2007 00:00:00,0.0485,0.6015,25.4247,1.0000,0.0000,7.3532,159.9788,68.5152,1.1965,0.7424,0.5751,585.1756,209.0351,13.5664,0.0000,0.4551,18.0113,30.4532,1.0877
05/01/2007 00:00:00,0.0490,0.5960,25.2405,1.0000,0.0000,6.3665,162.5217,68.5152,1.3146,0.7695,0.5947,537.5896,199.5179,14.0873,0.0000,0.4790,19.6699,31.2618,1.1331
06/01/2007 00:00:00,0.0482,0.5905,25.0564,1.0000,0.0000,5.3797,165.0646,68.5152,1.4044,0.7778,0.5909,490.0036,190.0007,14.2664,0.0000,0.4848,21.3285,31.2938,1.1348
07/01/2007 00:00:00,0.0458,0.5850,24.8722,1.0000,0.0000,4.3930,167.6075,68.5152,1.4867,0.7811,0.5842,442.4176,180.4835,14.3556,0.0000,0.4886,22.9871,31.1219,1.1312
08/01/2007 00:00:00,0.0431,0.5795,24.6881,1.0000,0.0000,3.4063,170.1503,68.5152,1.5671,0.7831,0.5761,394.8316,170.9663,14.4190,0.0000,0.4916,24.6457,30.8901,1.1253
09/01/2007 00:00:00,0.0407,0.5739,24.5039,1.0000,0.0000,3.5083,172.6932,68.5152,1.6511,0.7864,0.5692,347.2456,161.4491,14.5082,0.0000,0.4960,26.3043,30.7099,1.1222
10/01/2007 00:00:00,0.6330,0.5723,24.2517,1.0000,0.0000,4.3723,171.4769,68.5152,2.1832,0.8599,0.4767,350.2070,162.0414,15.8948,0.4350,0.3826,25.7420,33.6495,0.9070
11/01/2007 00:00:00,0.4653,0.5731,23.9713,1.0000,0.0000,5.2364,168.7050,68.5152,2.5906,0.8301,0.5323,374.0520,166.8104,15.3735,0.0000,0.3810,23.5750,32.7150,0.9665
12/01/2007 00:00:00,0.0466,0.5740,23.6908,1.0000,0.0000,6.1005,165.9331,68.5152,2.9132,0.7863,0.6491,397.8970,171.5794,14.5901,0.0000,0.4185,21.4081,31.2083,1.1325
13/01/2007 00:00:00,0.0437,0.5748,23.4104,1.0000,0.0000,6.9646,163.1612,68.5152,3.3851,0.7888,0.6848,421.7420,176.3484,14.6648,0.0000,0.4010,19.2412,31.5294,1.1542
14/01/2007 00:00:00,0.0391,0.5756,23.1300,1.0000,0.0000,7.8287,160.3893,68.5152,3.7654,0.7715,0.6979,445.5870,181.1174,14.3725,0.0000,0.3737,17.0742,31.0590,1.1414
15/01/2007 00:00:00,0.0331,0.5764,22.8496,1.0000,0.0000,8.6928,157.6174,68.5152,4.0774,0.7452,0.6987,469.4320,185.8864,13.9092,0.0000,0.3442,14.9073,30.2108,1.1128
16/01/2007 00:00:00,0.0329,0.5772,22.5692,1.0000,0.0000,8.7251,154.8455,68.5152,4.5001,0.7420,0.7177,493.2770,190.6554,13.8760,0.0000,0.3269,12.7404,30.2913,1.1163
17/01/2007 00:00:00,0.0329,0.5784,22.5895,1.0000,0.0000,8.2985,156.9151,68.5152,4.3347,0.7514,0.7189,482.8967,188.5793,14.0807,0.0000,0.3267,12.0000,30.3376,1.1175
18/01/2007 00:00:00,0.0317,0.5798,22.7281,1.0000,0.0000,7.8719,160.8907,68.5152,3.9153,0.7647,0.7132,459.0777,183.8155,14.3577,0.0000,0.3339,12.0000,30.3034,1.1184
19/01/2007 00:00:00,0.0312,0.5812,22.8668,1.0000,0.0000,7.4453,164.8663,68.5152,3.4872,0.7804,0.7074,435.2587,179.0517,14.6802,0.0000,0.3425,12.0000,30.3391,1.1206
20/01/2007 00:00:00,0.0295,0.5826,23.0055,1.0000,0.0000,7.0188,168.8419,68.5152,3.0090,0.7888,0.6931,411.4397,174.2879,14.8673,0.0000,0.3487,12.0000,30.0725,1.1110
21/01/2007 00:00:00,0.0287,0.5840,23.1441,1.0000,0.0000,6.5922,172.8174,68.5152,2.5369,0.8032,0.6827,387.6207,169.5241,15.1698,0.0000,0.3590,12.0000,30.0177,1.1099
22/01/2007 00:00:00,0.0262,0.5854,23.2828,1.0000,0.0000,6.1656,176.7930,68.5152,2.0204,0.8083,0.6623,363.8018,164.7604,15.2965,0.0000,0.3667,12.0000,29.5962,1.0952
23/01/2007 00:00:00,0.0252,0.5868,23.4214,1.0000,0.0000,6.2643,180.7686,68.5152,1.5110,0.8221,0.6464,339.9828,159.9966,15.5884,0.0000,0.3805,12.0000,29.4760,1.0915
24/01/2007 00:00:00,0.0249,0.5905,23.8112,1.0000,0.0000,6.6964,178.7208,68.5152,1.4556,0.8108,0.6192,376.2018,167.2404,15.4034,0.0000,0.4140,12.0911,29.5465,1.0952
25/01/2007 00:00:00,0.0246,0.5954,24.2979,1.0000,0.0000,7.1284,174.3502,68.5152,1.5659,0.7854,0.5880,435.6725,179.1345,14.9510,0.0000,0.4464,12.2317,29.4987,1.0933
26/01/2007 00:00:00,0.0208,0.6002,24.7845,1.0000,0.0000,7.5605,169.9797,68.5152,1.6129,0.7354,0.5408,495.1432,191.0286,14.0280,0.0000,0.4570,12.3723,28.4472,1.0519
27/01/2007 00:00:00,0.0167,0.6051,25.2711,1.0000,0.0000,7.9925,165.6092,68.5152,1.6040,0.6702,0.4829,554.6139,202.9228,12.8097,0.0000,0.4474,12.5128,26.6793,0.9785
28/01/2007 00:00:00,0.0147,0.6100,25.7578,1.0000,0.0000,8.4245,161.2386,68.5152,1.6261,0.6268,0.4448,614.0846,214.8169,12.0045,0.0000,0.4465,12.6534,25.6608,0.9359
29/01/2007 00:00:00,0.2045,0.6149,26.2444,1.0000,0.0000,8.8566,156.8681,68.5152,2.0503,0.7333,0.4479,673.5554,226.7111,14.0723,0.0000,0.4825,12.7940,30.8529,0.9752
30/01/2007 00:00:00,0.0163,0.6197,26.7311,1.0000,0.0000,10.6154,152.4976,68.5152,1.8766,0.6259,0.4433,733.0261,238.6052,12.0342,0.0000,0.5086,12.9346,27.0445,0.9961
31/01/2007 00:00:00,0.0173,0.6220,26.3827,1.0000,0.0000,13.0334,153.6073,68.5152,2.1257,0.6247,0.4852,733.0097,238.6019,12.0357,0.0000,0.4908,12.3763,27.7079,1.0245
01/02/2007 00:00:00,0.0185,0.6229,25.7008,1.0000,0.0000,15.4514,156.9063,68.5152,2.4324,0.6254,0.5462,709.2332,233.8466,12.0730,0.0000,0.4551,11.2100,28.4557,1.0560
02/02/2007 00:00:00,0.0190,0.6238,25.0189,1.0000,0.0000,17.8694,160.2053,68.5152,2.6994,0.6165,0.5976,685.4567,229.0913,11.9268,0.0000,0.4118,10.0436,28.7652,1.0692
03/02/2007 00:00:00,0.0177,0.6247,24.3370,1.0000,0.0000,20.2874,163.5043,68.5152,2.8870,0.5929,0.6306,661.6802,224.3360,11.4933,0.0000,0.3593,8.8773,28.3497,1.0530
04/02/2007 00:00:00,0.0165,0.6256,23.6551,1.0000,0.0000,22.7055,166.8033,68.5152,3.0579,0.5703,0.6604,637.9037,219.5807,11.0778,0.0000,0.3103,7.7109,27.9322,1.0367
05/02/2007 00:00:00,0.0153,0.6265,22.9732,1.0000,0.0000,25.1235,170.1024,68.5152,3.2005,0.5465,0.6841,614.1272,214.8254,10.6366,0.0000,0.2630,6.5446,27.4029,1.0155
06/02/2007 00:00:00,0.0143,0.6274,22.2913,1.0000,0.0000,24.8203,173.4014,68.5152,3.3434,0.5263,0.7085,590.3507,210.0701,10.2635,0.0000,0.2204,5.3783,27.0045,0.9997
07/02/2007 00:00:00,0.0142,0.6293,22.2360,1.0000,0.0000,22.9698,174.9100,68.5152,3.2828,0.5355,0.7125,600.1191,212.0238,10.5240,0.0000,0.2183,5.6742,27.0455,1.0020
08/02/2007 00:00:00,0.0146,0.6319,22.4432,1.0000,0.0000,21.1192,175.6691,68.5152,3.1486,0.5626,0.7142,623.9333,216.7867,11.1688,0.0000,0.2351,6.6720,27.4758,1.0208
09/02/2007 00:00:00,0.0142,0.6345,22.6504,1.0000,0.0000,19.2687,176.4281,68.5152,2.9326,0.5805,0.6994,647.7476,221.5495,11.6425,0.0000,0.2473,7.6699,27.3624,1.0167
10/02/2007 00:00:00,0.0143,0.6371,22.8575,1.0000,0.0000,17.4181,177.1871,68.5152,2.7294,0.6071,0.6930,671.5618,226.3124,12.3020,0.0000,0.2632,8.6677,27.5614,1.0256
11/02/2007 00:00:00,0.0160,0.6397,23.0647,1.0000,0.0000,15.5676,177.9461,68.5152,2.5786,0.6564,0.7098,695.3761,231.0752,13.4410,0.0000,0.2896,9.6655,28.6367,1.0704
12/02/2007 00:00:00,0.0165,0.6423,23.2719,1.0000,0.0000,13.7171,178.7052,68.5152,2.3163,0.6916,0.7035,719.1903,235.8381,14.3131,0.0000,0.3085,10.6633,28.9230,1.0824
13/02/2007 00:00:00,0.0159,0.6449,23.4791,1.0000,0.0000,12.6508,179.4642,68.5152,1.9826,0.7191,0.6845,743.0046,240.6009,15.0416,0.0000,0.3228,11.6612,28.7430,1.0758
14/02/2007 00:00:00,0.0159,0.6463,23.4805,1.0000,0.0000,12.0808,179.8450,68.5152,1.7527,0.7210,0.6668,724.7768,236.9554,15.2440,0.0000,0.3466,11.2300,28.8349,1.0801
15/02/2007 00:00:00,0.0168,0.6471,23.3962,1.0000,0.0000,11.5107,180.0682,68.5152,1.5205,0.6864,0.6028,689.0625,229.8125,14.6725,0.0000,0.3468,10.0640,28.0224,1.0099
16/02/2007 00:00:00,0.1412,0.6478,23.3120,1.0000,0.0000,10.9406,180.2914,68.5152,1.3443,0.6740,0.4689,653.3482,222.6696,14.5677,0.0000,0.2966,8.8980,28.0889,0.8123
17/02/2007 00:00:00,0.0283,0.6486,23.2277,1.0000,0.0000,10.3705,180.5146,68.5152,1.1201,0.6333,0.5335,617.6339,215.5268,13.8398,0.0000,0.3691,7.7320,26.9387,0.9560
18/02/2007 00:00:00,0.4195,0.6493,23.1434,1.0000,0.0000,9.8005,180.7378,68.5152,1.1252,0.7316,0.4906,581.9196,208.3839,16.1699,0.6916,0.3695,6.5660,31.7701,0.9092
19/02/2007 00:00:00,0.0180,0.6500,23.0591,1.0000,0.0000,9.2304,180.9610,68.5152,0.8825,0.6778,0.5894,546.2054,201.2411,15.1525,0.0000,0.4815,5.4000,30.0483,1.1298
20/02/2007 00:00:00,0.0170,0.6508,22.9749,1.0000,0.0000,9.4288,181.1842,68.5152,0.6985,0.6587,0.5657,510.4911,194.0982,14.8958,0.0000,0.4994,5.3281,29.8120,1.1216
21/02/2007 00:00:00,0.0156,0.6521,23.1649,1.0000,0.0000,10.1484,178.1287,68.5152,0.8381,0.6172,0.5530,483.1578,188.6316,14.8037,0.0000,0.4967,5.8275,29.3628,1.1049
22/02/2007 00:00:00,0.0149,0.6537,23.4697,1.0000,0.0000,10.8681,173.7018,68.5152,1.1163,0.5901,0.5503,459.3104,183.8621,14.2812,0.0000,0.4910,6.3270,29.1304,1.0964
23/02/2007 00:00:00,0.0142,0.6554,23.7745,1.0000,0.0000,11.5877,169.2748,68.5152,1.3764,0.5644,0.5474,435.4630,179.0926,13.7847,0.0000,0.4854,6.8264,28.8984,1.0876
24/02/2007 00:00:00,0.0127,0.6570,24.0793,1.0000,0.0000,12.3073,164.8479,68.5152,1.5937,0.5315,0.5352,411.6157,174.3231,13.0999,0.0000,0.4717,7.3258,28.2089,1.0605
25/02/2007 00:00:00,0.0111,0.6586,24.3840,1.0000,0.0000,13.0270,160.4210,68.5152,1.7670,0.4946,0.5158,387.7683,169.5537,12.3058,0.0000,0.4519,7.8253,27.2040,1.0194
26/02/2007 00:00:00,0.0107,0.6603,24.6888,1.0000,0.0000,13.7466,155.9940,68.5152,1.9705,0.4736,0.5126,363.9209,164.7842,11.8954,0.0000,0.4466,8.3247,26.9821,1.0105
