ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0072,0.4467,28.7255,1.0000,0.0000,35.6439,295.5508,125.5581,12.3690,7.0537,0.1836,745.9132,241.1826,12.1815,0.0000,1.6404,13.0355,46.1007,1.8424
02/01/2007 00:00:00,0.0072,0.4491,28.7386,1.0000,0.0000,37.1249,294.7227,125.5581,13.0582,7.3090,0.1902,726.4263,237.2853,11.4745,0.0000,1.6331,14.6941,46.1012,1.8424
03/01/2007 00:00:00,0.1991,0.4516,28.7516,1.0000,0.0000,38.6059,293.8946,125.5581,14.9368,8.2135,0.2007,706.9395,233.3879,11.6455,0.0000,1.6524,16.3527,49.9909,1.8732
04/01/2007 00:00:00,0.0103,0.4540,28.7647,1.0000,0.0000,40.0869,293.0665,125.5581,14.6421,7.9165,0.2050,687.4526,229.4905,10.0583,0.0000,1.6195,18.0113,46.4887,1.8450
05/01/2007 00:00:00,0.0108,0.4565,28.7777,1.0000,0.0000,41.5679,292.2384,125.5581,15.4437,8.2164,0.2128,667.9658,225.5932,9.2664,0.0000,1.6113,19.6699,46.5454,1.8454
06/01/2007 00:00:00,0.0107,0.4589,28.7908,1.0000,0.0000,43.0489,291.4103,125.5581,16.2560,8.5166,0.2210,648.4789,221.6958,8.4259,0.0000,1.6022,21.3285,46.5325,1.8453
07/01/2007 00:00:00,0.0102,0.4614,28.8039,1.0000,0.0000,44.5299,290.5822,125.5581,17.0873,8.8215,0.2296,628.9921,217.7984,7.5428,0.0000,1.5924,22.9871,46.4769,1.8450
08/01/2007 00:00:00,0.0096,0.4638,28.8169,1.0000,0.0000,46.0109,289.7541,125.5581,17.9509,9.1380,0.2386,609.5053,213.9010,6.6223,0.0000,1.5821,24.6457,46.4133,1.8445
09/01/2007 00:00:00,0.0091,0.4663,28.8300,1.0000,0.0000,47.4919,288.9260,125.5581,18.8521,9.4685,0.2482,590.0184,210.0037,5.6634,0.0000,1.5711,26.3043,46.3501,1.8441
10/01/2007 00:00:00,0.0434,0.4687,28.8430,1.0000,0.0000,47.3527,288.0978,125.5581,19.8804,10.0521,0.2547,587.1862,209.4372,5.8427,0.0000,1.5767,25.7420,48.4217,1.8569
11/01/2007 00:00:00,0.0445,0.4712,28.8561,1.0000,0.0000,46.3674,287.2697,125.5581,19.6576,10.1127,0.2569,593.0510,210.6102,6.2733,0.0000,1.5746,23.5750,48.4632,1.8571
12/01/2007 00:00:00,0.0114,0.4736,28.8692,1.0000,0.0000,45.3821,286.4416,125.5581,18.6727,9.7764,0.2575,598.9158,211.7832,6.4469,0.0000,1.5626,21.4081,46.6096,1.8459
