ISOTime,Precip
01/01/2007 00:00:00,0.0004
02/01/2007 00:00:00,0.0034
03/01/2007 00:00:00,0.0072
04/01/2007 00:00:00,0.0000
05/01/2007 00:00:00,0.0002
06/01/2007 00:00:00,0.0000
07/01/2007 00:00:00,0.0002
08/01/2007 00:00:00,0.0004
09/01/2007 00:00:00,0.0000
10/01/2007 00:00:00,0.0026
11/01/2007 00:00:00,0.0002
12/01/2007 00:00:00,0.0004
13/01/2007 00:00:00,0.0000
14/01/2007 00:00:00,0.0000
15/01/2007 00:00:00,0.0006
16/01/2007 00:00:00,0.0000
17/01/2007 00:00:00,0.0000
18/01/2007 00:00:00,0.0000
19/01/2007 00:00:00,0.0002
20/01/2007 00:00:00,0.0000
21/01/2007 00:00:00,0.0000
22/01/2007 00:00:00,0.0000
23/01/2007 00:00:00,0.0000
24/01/2007 00:00:00,0.0000
25/01/2007 00:00:00,0.0000
26/01/2007 00:00:00,0.0000
27/01/2007 00:00:00,0.0000
28/01/2007 00:00:00,0.0002
29/01/2007 00:00:00,0.0002
30/01/2007 00:00:00,0.0000
31/01/2007 00:00:00,0.0000
01/02/2007 00:00:00,0.0000
02/02/2007 00:00:00,0.0004
03/02/2007 00:00:00,0.0000
04/02/2007 00:00:00,0.0002
05/02/2007 00:00:00,0.0002
06/02/2007 00:00:00,0.0000
07/02/2007 00:00:00,0.0000
08/02/2007 00:00:00,0.0000
09/02/2007 00:00:00,0.0002
10/02/2007 00:00:00,0.0000
11/02/2007 00:00:00,0.0002
12/02/2007 00:00:00,0.0006
13/02/2007 00:00:00,0.0000
14/02/2007 00:00:00,0.0002
15/02/2007 00:00:00,0.0012
16/02/2007 00:00:00,0.0002
17/02/2007 00:00:00,0.0028
18/02/2007 00:00:00,0.0002
19/02/2007 00:00:00,0.0002
20/02/2007 00:00:00,0.0000
21/02/2007 00:00:00,0.0002
22/02/2007 00:00:00,0.0000
23/02/2007 00:00:00,0.0002
24/02/2007 00:00:00,0.0000
25/02/2007 00:00:00,0.0000
26/02/2007 00:00:00,0.0058
27/02/2007 00:00:00,0.0002
28/02/2007 00:00:00,0.0008
01/03/2007 00:00:00,0.0004
02/03/2007 00:00:00,0.0006
03/03/2007 00:00:00,0.0000
04/03/2007 00:00:00,0.0000
05/03/2007 00:00:00,0.0002
06/03/2007 00:00:00,0.0000
07/03/2007 00:00:00,0.0002
08/03/2007 00:00:00,0.0000
09/03/2007 00:00:00,0.0000
10/03/2007 00:00:00,0.0000
11/03/2007 00:00:00,0.0002
12/03/2007 00:00:00,0.0000
13/03/2007 00:00:00,0.0000
14/03/2007 00:00:00,0.0000
15/03/2007 00:00:00,0.0000
16/03/2007 00:00:00,0.0002
17/03/2007 00:00:00,0.0000
18/03/2007 00:00:00,0.0002
19/03/2007 00:00:00,0.0002
20/03/2007 00:00:00,0.0000
21/03/2007 00:00:00,0.0000
22/03/2007 00:00:00,0.0000
23/03/2007 00:00:00,0.0002
24/03/2007 00:00:00,0.0000
25/03/2007 00:00:00,0.0000
26/03/2007 00:00:00,0.0000
27/03/2007 00:00:00,0.0000
28/03/2007 00:00:00,0.0016
29/03/2007 00:00:00,0.0000
30/03/2007 00:00:00,0.0016
31/03/2007 00:00:00,0.0000
01/04/2007 00:00:00,0.0000
02/04/2007 00:00:00,0.0000
03/04/2007 00:00:00,0.0000
04/04/2007 00:00:00,0.0000
05/04/2007 00:00:00,0.0020
06/04/2007 00:00:00,0.0016
07/04/2007 00:00:00,0.0000
08/04/2007 00:00:00,0.0018
09/04/2007 00:00:00,0.0002
10/04/2007 00:00:00,0.0000
11/04/2007 00:00:00,0.0002
12/04/2007 00:00:00,0.0000
13/04/2007 00:00:00,0.0002
14/04/2007 00:00:00,0.0000
15/04/2007 00:00:00,0.0422
16/04/2007 00:00:00,0.0000
17/04/2007 00:00:00,0.0000
18/04/2007 00:00:00,0.0008
19/04/2007 00:00:00,0.0000
20/04/2007 00:00:00,0.0000
21/04/2007 00:00:00,0.0000
22/04/2007 00:00:00,0.0000
23/04/2007 00:00:00,0.0000
24/04/2007 00:00:00,0.0110
25/04/2007 00:00:00,0.0014
26/04/2007 00:00:00,0.0000
27/04/2007 00:00:00,0.0000
28/04/2007 00:00:00,0.0000
29/04/2007 00:00:00,0.0112
30/04/2007 00:00:00,0.0070
01/05/2007 00:00:00,0.0048
02/05/2007 00:00:00,0.0062
03/05/2007 00:00:00,0.0000
04/05/2007 00:00:00,0.0040
05/05/2007 00:00:00,0.0010
06/05/2007 00:00:00,0.0000
07/05/2007 00:00:00,0.0000
08/05/2007 00:00:00,0.0000
09/05/2007 00:00:00,0.0000
10/05/2007 00:00:00,0.0000
11/05/2007 00:00:00,0.0000
12/05/2007 00:00:00,0.0022
13/05/2007 00:00:00,0.0004
14/05/2007 00:00:00,0.0000
15/05/2007 00:00:00,0.0000
16/05/2007 00:00:00,0.0000
17/05/2007 00:00:00,0.0002
18/05/2007 00:00:00,0.0010
19/05/2007 00:00:00,0.0006
20/05/2007 00:00:00,0.0024
21/05/2007 00:00:00,0.0000
22/05/2007 00:00:00,0.0000
23/05/2007 00:00:00,0.0000
24/05/2007 00:00:00,0.0000
25/05/2007 00:00:00,0.0000
26/05/2007 00:00:00,0.0074
27/05/2007 00:00:00,0.0196
28/05/2007 00:00:00,0.0066
29/05/2007 00:00:00,0.0000
30/05/2007 00:00:00,0.0000
31/05/2007 00:00:00,0.0000
01/06/2007 00:00:00,0.0002
02/06/2007 00:00:00,0.0000
03/06/2007 00:00:00,0.0002
04/06/2007 00:00:00,0.0002
05/06/2007 00:00:00,0.0000
06/06/2007 00:00:00,0.0000
07/06/2007 00:00:00,0.0036
08/06/2007 00:00:00,0.0018
09/06/2007 00:00:00,0.0002
10/06/2007 00:00:00,0.0000
11/06/2007 00:00:00,0.0000
12/06/2007 00:00:00,0.0000
13/06/2007 00:00:00,0.0008
14/06/2007 00:00:00,0.0032
15/06/2007 00:00:00,0.0000
16/06/2007 00:00:00,0.0000
17/06/2007 00:00:00,0.0000
18/06/2007 00:00:00,0.0002
