ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0007,0.4467,28.7255,1.0000,0.0000,35.6439,295.5508,125.5581,4.3491,2.4802,0.0427,745.9132,241.1826,4.2832,0.0000,0.3816,13.0355,16.2097,0.4285
02/01/2007 00:00:00,0.0007,0.4491,28.7386,1.0000,0.0000,37.1249,294.7227,125.5581,4.5980,2.5736,0.0443,726.4263,237.2853,4.0404,0.0000,0.3805,14.6941,16.2330,0.4292
03/01/2007 00:00:00,0.0538,0.4516,28.7516,1.0000,0.0000,38.6059,293.8946,125.5581,10.5838,5.8198,0.0955,706.9395,233.3879,8.2516,0.0000,0.7867,16.3527,35.4221,0.8918
04/01/2007 00:00:00,0.0012,0.4540,28.7647,1.0000,0.0000,40.0869,293.0665,125.5581,5.4767,2.9611,0.0512,687.4526,229.4905,3.7622,0.0000,0.4044,18.0113,17.3885,0.4607
05/01/2007 00:00:00,0.0012,0.4565,28.7777,1.0000,0.0000,41.5679,292.2384,125.5581,5.8406,3.1074,0.0538,667.9658,225.5932,3.5044,0.0000,0.4073,19.6699,17.6030,0.4665
06/01/2007 00:00:00,0.0012,0.4589,28.7908,1.0000,0.0000,43.0489,291.4103,125.5581,6.1247,3.2088,0.0556,648.4789,221.6958,3.1746,0.0000,0.4034,21.3285,17.5320,0.4646
07/01/2007 00:00:00,0.0011,0.4614,28.8039,1.0000,0.0000,44.5299,290.5822,125.5581,6.3744,3.2909,0.0572,628.9921,217.7984,2.8138,0.0000,0.3965,22.9871,17.3381,0.4594
08/01/2007 00:00:00,0.0010,0.4638,28.8169,1.0000,0.0000,46.0109,289.7541,125.5581,6.6223,3.3711,0.0587,609.5053,213.9010,2.4431,0.0000,0.3890,24.6457,17.1225,0.4536
09/01/2007 00:00:00,0.0010,0.4663,28.8300,1.0000,0.0000,47.4919,288.9260,125.5581,6.8898,3.4604,0.0604,590.0184,210.0037,2.0698,0.0000,0.3822,26.3043,16.9394,0.4486
10/01/2007 00:00:00,0.0100,0.4687,28.8430,1.0000,0.0000,47.3527,288.0978,125.5581,10.4363,5.2769,0.0910,587.1862,209.4372,3.0672,0.0000,0.5631,25.7420,25.4191,0.6631
11/01/2007 00:00:00,0.0106,0.4712,28.8561,1.0000,0.0000,46.3674,287.2697,125.5581,10.4206,5.3608,0.0926,593.0510,210.6102,3.3255,0.0000,0.5677,23.5750,25.6905,0.6696
12/01/2007 00:00:00,0.0015,0.4736,28.8692,1.0000,0.0000,45.3821,286.4416,125.5581,7.2453,3.7934,0.0669,598.9158,211.7832,2.5015,0.0000,0.4058,21.4081,18.0852,0.4794
13/01/2007 00:00:00,0.0011,0.4761,28.8822,1.0000,0.0000,44.3969,285.6135,125.5581,6.8423,3.6471,0.0645,604.7806,212.9561,2.5476,0.0000,0.3874,19.2412,17.2974,0.4584
14/01/2007 00:00:00,0.0010,0.4785,28.8953,1.0000,0.0000,43.4116,284.7854,125.5581,6.6039,3.5848,0.0636,610.6455,214.1291,2.6442,0.0000,0.3781,17.0742,16.9130,0.4480
15/01/2007 00:00:00,0.0007,0.4810,28.9083,1.0000,0.0000,42.4263,283.9573,125.5581,6.2496,3.4560,0.0614,616.5103,215.3021,2.6844,0.0000,0.3615,14.9073,16.2200,0.4290
16/01/2007 00:00:00,0.0008,0.4834,28.9214,1.0000,0.0000,41.4410,283.1292,125.5581,6.1890,3.4879,0.0622,622.3751,216.4750,2.8455,0.0000,0.3624,12.7404,16.2833,0.4308
17/01/2007 00:00:00,0.0008,0.4859,28.9344,1.0000,0.0000,40.4557,282.3011,125.5581,6.1236,3.5182,0.0630,628.2399,217.6480,3.0078,0.0000,0.3630,12.0000,16.3376,0.4323
18/01/2007 00:00:00,0.0008,0.4883,28.9475,1.0000,0.0000,39.4704,281.4730,125.5581,6.0169,3.5255,0.0633,634.1047,218.8209,3.1519,0.0000,0.3612,12.0000,16.2843,0.4308
19/01/2007 00:00:00,0.0008,0.4908,28.9606,1.0000,0.0000,38.4851,280.6449,125.5581,5.9264,3.5429,0.0638,639.9695,219.9939,3.3060,0.0000,0.3604,12.0000,16.2768,0.4306
20/01/2007 00:00:00,0.0007,0.4932,28.9736,1.0000,0.0000,37.4998,279.8167,125.5581,5.7378,3.5010,0.0633,645.8344,221.1669,3.4038,0.0000,0.3533,12.0000,15.9977,0.4229
21/01/2007 00:00:00,0.0007,0.4957,28.9867,1.0000,0.0000,36.5145,278.9886,125.5581,5.6328,3.5095,0.0636,651.6992,222.3398,3.5493,0.0000,0.3516,12.0000,15.9496,0.4216
22/01/2007 00:00:00,0.0006,0.4981,28.9997,1.0000,0.0000,35.5293,278.1605,125.5581,5.4443,3.4652,0.0630,657.5640,223.5128,3.6400,0.0000,0.3443,12.0000,15.6625,0.4136
23/01/2007 00:00:00,0.0006,0.5006,29.0128,1.0000,0.0000,34.5440,277.3324,125.5581,5.3297,3.4671,0.0632,663.4288,224.6858,3.7775,0.0000,0.3418,12.0000,15.5852,0.4114
24/01/2007 00:00:00,0.0006,0.5008,28.8970,1.0000,0.0000,33.4860,276.4034,125.5581,5.2882,3.4648,0.0640,661.3125,224.2625,3.8915,0.0000,0.3418,12.0911,15.6130,0.4122
25/01/2007 00:00:00,0.0006,0.4984,28.6223,1.0000,0.0000,32.3385,275.3499,125.5581,5.2840,3.4230,0.0647,649.3592,221.8718,3.9370,0.0000,0.3410,12.2317,15.6147,0.4123
26/01/2007 00:00:00,0.0004,0.4960,28.3476,1.0000,0.0000,31.1910,274.2965,125.5581,5.0593,3.2407,0.0626,637.4058,219.4812,3.8153,0.0000,0.3250,12.3723,14.9640,0.3938
27/01/2007 00:00:00,0.0003,0.4936,28.0729,1.0000,0.0000,30.0434,273.2430,125.5581,4.7626,3.0166,0.0592,625.4524,217.0905,3.6338,0.0000,0.3034,12.5128,14.0985,0.3685
28/01/2007 00:00:00,0.0002,0.4912,27.7982,1.0000,0.0000,28.8959,272.1895,125.5581,4.6272,2.8984,0.0580,613.4990,214.6998,3.5709,0.0000,0.2931,12.6534,13.7095,0.3569
29/01/2007 00:00:00,0.0020,0.4887,27.5235,1.0000,0.0000,27.7484,271.1360,125.5581,6.4242,3.9797,0.0830,601.5456,212.3091,5.0127,0.0000,0.4135,12.7940,19.0493,0.5048
30/01/2007 00:00:00,0.0006,0.4863,27.2488,1.0000,0.0000,26.6009,270.0825,125.5581,5.2886,3.2404,0.0690,589.5923,209.9185,4.1713,0.0000,0.3387,12.9346,15.6951,0.4146
